SampleID	data_type	url
151507	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151507_filtered_feature_bc_matrix.h5
151507	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151507_raw_feature_bc_matrix.h5
151507	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151507_full_image.tif
151507	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151507_tissue_hires_image.png
151507	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151507_tissue_lowres_image.png
151507	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151507.cloupe
151507	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151507/151507_web_summary.html
151508	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151508_filtered_feature_bc_matrix.h5
151508	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151508_raw_feature_bc_matrix.h5
151508	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151508_full_image.tif
151508	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151508_tissue_hires_image.png
151508	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151508_tissue_lowres_image.png
151508	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151508.cloupe
151508	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151508/151508_web_summary.html
151509	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151509_filtered_feature_bc_matrix.h5
151509	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151509_raw_feature_bc_matrix.h5
151509	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151509_full_image.tif
151509	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151509_tissue_hires_image.png
151509	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151509_tissue_lowres_image.png
151509	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151509.cloupe
151509	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151509/151509_web_summary.html
151510	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151510_filtered_feature_bc_matrix.h5
151510	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151510_raw_feature_bc_matrix.h5
151510	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151510_full_image.tif
151510	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151510_tissue_hires_image.png
151510	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151510_tissue_lowres_image.png
151510	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151510.cloupe
151510	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151510/151510_web_summary.html
151669	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151669_filtered_feature_bc_matrix.h5
151669	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151669_raw_feature_bc_matrix.h5
151669	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151669_full_image.tif
151669	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151669_tissue_hires_image.png
151669	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151669_tissue_lowres_image.png
151669	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151669.cloupe
151669	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151669/151669_web_summary.html
151670	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151670_filtered_feature_bc_matrix.h5
151670	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151670_raw_feature_bc_matrix.h5
151670	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151670_full_image.tif
151670	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151670_tissue_hires_image.png
151670	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151670_tissue_lowres_image.png
151670	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151670.cloupe
151670	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151670/151670_web_summary.html
151671	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151671_filtered_feature_bc_matrix.h5
151671	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151671_raw_feature_bc_matrix.h5
151671	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151671_full_image.tif
151671	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151671_tissue_hires_image.png
151671	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151671_tissue_lowres_image.png
151671	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151671.cloupe
151671	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151671/151671_web_summary.html
151672	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151672_filtered_feature_bc_matrix.h5
151672	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151672_raw_feature_bc_matrix.h5
151672	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151672_full_image.tif
151672	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151672_tissue_hires_image.png
151672	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151672_tissue_lowres_image.png
151672	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151672.cloupe
151672	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151672/151672_web_summary.html
151673	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151673_filtered_feature_bc_matrix.h5
151673	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151673_raw_feature_bc_matrix.h5
151673	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151673_full_image.tif
151673	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151673_tissue_hires_image.png
151673	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151673_tissue_lowres_image.png
151673	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151673.cloupe
151673	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151673/151673_web_summary.html
151674	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151674_filtered_feature_bc_matrix.h5
151674	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151674_raw_feature_bc_matrix.h5
151674	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151674_full_image.tif
151674	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151674_tissue_hires_image.png
151674	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151674_tissue_lowres_image.png
151674	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151674.cloupe
151674	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151674/151674_web_summary.html
151675	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151675_filtered_feature_bc_matrix.h5
151675	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151675_raw_feature_bc_matrix.h5
151675	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151675_full_image.tif
151675	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151675_tissue_hires_image.png
151675	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151675_tissue_lowres_image.png
151675	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151675.cloupe
151675	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151675/151675_web_summary.html
151676	h5_filtered	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151676_filtered_feature_bc_matrix.h5
151676	h5_raw	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/h5/151676_raw_feature_bc_matrix.h5
151676	image_full	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151676_full_image.tif
151676	image_hi	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151676_tissue_hires_image.png
151676	image_lo	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/images/151676_tissue_lowres_image.png
151676	loupe	https://spatial-dlpfc.s3.us-east-2.amazonaws.com/loupe/151676.cloupe
151676	HTML_report	https://raw.githubusercontent.com/LieberInstitute/HumanPilot/master/10X/151676/151676_web_summary.html
